#id     mean     max     min     std     50th     95th     25th     50th     75th     90th     95th     99th     100th
Client1     20064148.225469727     20976000     19604000     76142.0011164127     20069000.0     20118000.0     20055000.0     20069000.0     20082000.0     20101200.0     20118000.0     20157320.0     20976000.0
Client2     20074062.630480167     20316000     19787000     32195.777711916602     20072000.0     20116000.0     20060000.0     20072000.0     20087000.0     20105000.0     20116000.0     20145440.0     20316000.0
Client3     20073870.563674323     20948000     19797000     51047.564191760575     20072000.0     20118100.0     20059000.0     20072000.0     20087500.0     20104000.0     20118100.0     20142660.0     20948000.0
Client4     20061849.686847597     20825000     19481000     97590.78186229906     20063000.0     20153200.0     20026000.0     20063000.0     20100000.0     20127200.0     20153200.0     20366500.0     20825000.0
Client5     20071104.38413361     20746000     19600000     71206.64128900038     20071000.0     20124200.0     20055000.0     20071000.0     20084000.0     20105200.0     20124200.0     20232400.0     20746000.0
Client6     20073974.947807934     20152000     19927000     24694.614940168736     20072000.0     20116000.0     20058000.0     20072000.0     20087000.0     20105000.0     20116000.0     20130220.0     20152000.0
Client7     20080830.89770355     21556000     20001000     72980.6120436599     20074000.0     20121000.0     20061000.0     20074000.0     20089000.0     20108000.0     20121000.0     20168200.0     21556000.0
Client8     20076198.329853863     20852000     19857000     56596.475886804124     20071000.0     20118000.0     20059000.0     20071000.0     20087000.0     20105200.0     20118000.0     20194740.0     20852000.0
Client9     20072818.371607516     20317000     19767000     35621.62552834349     20073000.0     20117000.0     20060000.0     20073000.0     20087000.0     20102200.0     20117000.0     20150320.0     20317000.0
Client10     20070908.14196242     20335000     19789000     35721.082534915935     20070000.0     20118100.0     20055000.0     20070000.0     20087000.0     20105000.0     20118100.0     20146220.0     20335000.0
Client11     20074027.139874738     20181000     19826000     28471.74357161105     20071000.0     20115000.0     20061000.0     20071000.0     20087000.0     20105000.0     20115000.0     20151220.0     20181000.0
Client12     20073634.65553236     20354000     19940000     29291.247337755907     20071000.0     20117000.0     20059000.0     20071000.0     20087000.0     20104000.0     20117000.0     20147660.0     20354000.0
Client13     20074352.81837161     20166000     19956000     23443.948776346773     20072000.0     20111300.0     20060000.0     20072000.0     20087000.0     20104000.0     20111300.0     20135320.0     20166000.0
Client14     20079442.588726513     21225000     19778000     87134.62541445202     20069000.0     20138400.0     20058000.0     20069000.0     20086000.0     20113000.0     20138400.0     20348860.0     21225000.0
Client15     20064296.450939458     20732000     19285000     94778.34711235415     20068000.0     20132200.0     20050500.0     20068000.0     20082000.0     20104000.0     20132200.0     20513780.0     20732000.0
Client16     20072993.736951984     20320000     19762000     35379.33361140025     20072000.0     20117000.0     20059000.0     20072000.0     20086500.0     20104000.0     20117000.0     20151320.0     20320000.0
Client17     20050334.02922756     20854000     19369000     115831.42811739488     20067000.0     20115200.0     20045500.0     20067000.0     20082000.0     20100000.0     20115200.0     20396779.999999993     20854000.0
Client18     20075951.98329854     20320000     20004000     24704.174404713674     20072000.0     20117000.0     20060000.0     20072000.0     20086000.0     20103000.0     20117000.0     20148440.0     20320000.0
Client19     20074634.65553236     20215000     19912000     26208.6164383401     20072000.0     20119000.0     20060500.0     20072000.0     20089000.0     20105200.0     20119000.0     20141000.0     20215000.0
Client20     20072085.59498956     20591000     19924000     49685.934098021746     20070000.0     20138300.0     20044000.0     20070000.0     20098500.0     20124200.0     20138300.0     20183220.0     20591000.0
