0.0     20358000     20954000     20267000     24647000     23121000     20363000     20347000     24039000     20427000     20359000     20614000     21890000     20419000     22813000     20383000     20044000     22155000     20464000     20298000     26931000     26612000     22202000     22839000     24134000     20544000     25280000     20303000     20261000     29952000     20286000     21737000     21082000     20355000     20284000     20360000     20482000     21419000     21261000     20279000     22223000     23524000     20311000     20450000     20817000     20290000     20308000     20312000     23364000     20322000     21173000
1.0     20737000     23919000     20574000     30479000     30975000     20444000     20750000     25601000     21444000     20568000     21613000     43657000     20759000     25574000     20558000     21047000     23115000     20514000     20673000     27498000     23213000     37311000     30630000     29941000     20726000     21003000     20385000     20985000     24125000     20588000     21879000     25160000     20567000     20409000     20775000     20417000     26410000     25799000     21271000     27424000     27696000     24452000     20412000     24302000     20556000     20533000     20608000     22661000     20517000     24260000
2.0     20387000     21458000     20444000     26983000     30984000     20399000     20780000     22708000     20306000     20945000     20454000     19761000     21054000     21775000     20469000     20312000     24924000     20399000     20289000     28423000     22667000     28858000     26375000     23824000     20381000     26959000     20631000     20464000     21819000     20245000     26267000     24760000     20331000     20376000     20297000     20408000     25303000     23968000     25610000     21255000     22031000     24114000     20409000     24275000     20495000     20461000     20380000     26437000     20613000     24867000
3.0     20197000     20242000     20199000     21906000     20977000     21741000     20142000     22607000     20363000     19749000     20782000     21313000     20272000     20584000     21063000     21317000     19912000     21485000     20298000     21953000     20799000     21267000     20551000     26506000     20468000     23276000     20812000     20544000     20259000     20261000     23473000     24037000     20316000     20911000     20302000     20189000     31129000     21465000     20273000     22972000     30227000     25339000     20348000     24103000     20316000     20326000     20316000     21065000     20270000     21152000
4.0     20287000     23088000     20363000     21901000     22797000     22409000     20413000     23576000     20302000     20850000     20404000     25399000     21106000     23975000     21191000     20306000     20166000     20673000     20388000     22394000     21976000     23968000     21130000     22965000     21180000     23674000     20365000     20791000     24499000     20213000     20282000     21151000     20760000     20476000     20363000     20604000     22803000     23003000     27259000     24948000     22816000     21440000     20510000     24196000     20281000     20864000     20489000     22565000     20238000     23254000
5.0     20286000     21905000     20289000     20185000     24682000     20255000     20283000     20204000     20295000     20308000     20201000     22664000     20268000     24036000     20243000     20189000     23438000     20273000     20169000     25076000     22243000     26084000     25373000     22390000     20236000     26259000     20143000     20288000     24327000     21268000     23568000     25791000     20152000     20187000     20276000     20199000     27851000     20415000     24197000     23825000     23364000     25433000     20281000     20768000     20305000     20178000     20161000     23575000     20289000     26022000
6.0     20420000     22256000     20369000     25873000     23874000     20394000     20449000     23314000     20347000     20309000     20328000     22007000     20514000     23058000     20339000     20476000     23307000     20345000     20601000     22269000     20652000     24712000     28262000     20798000     20464000     20974000     20437000     20503000     21893000     20240000     24795000     24853000     20359000     21068000     20353000     20364000     27347000     20874000     23447000     20960000     22304000     22658000     20308000     22262000     20467000     20352000     20419000     25074000     20415000     22507000
7.0     20496000     22718000     20509000     21303000     20612000     20599000     20400000     22899000     21990000     20852000     22222000     23103000     20468000     24805000     21235000     21247000     20534000     22302000     20301000     23780000     20539000     25128000     25709000     22004000     20650000     20064000     20522000     20593000     22529000     20695000     22340000     22745000     20468000     20270000     24090000     21258000     19473000     22526000     25239000     23693000     22373000     26649000     20513000     25244000     20775000     20380000     21714000     25937000     22545000     22539000
8.0     20562000     24328000     20813000     24359000     22018000     21652000     20109000     21396000     20630000     20598000     36688000     24685000     20336000     21714000     20908000     20961000     23580000     29270000     21229000     23708000     22339000     21500000     35838000     20199000     20273000     21822000     20383000     21018000     24955000     24080000     20309000     23925000     20632000     21537000     27012000     20446000     22106000     24531000     23125000     26527000     23077000     20650000     23065000     23329000     21658000     20337000     22186000     23374000     20342000     24499000
9.0     20400000     20232000     20334000     24924000     21741000     20288000     20216000     22388000     19971000     20018000     20019000     22753000     20905000     20554000     20494000     20155000     20326000     20018000     20270000     20079000     19954000     26548000     23773000     20121000     20300000     20222000     20342000     20023000     20384000     20083000     22253000     19845000     20327000     20264000     20147000     20398000     21727000     20082000     22198000     21169000     29231000     20499000     20259000     23232000     21479000     20484000     20282000     20304000     20673000     21158000
