#id     mean     max     min     std     50th     95th     25th     50th     75th     90th     95th     99th     100th
Client1     73410636.66666667     409722000     20942000     62146820.00540861     54216500.0     208687500.00000012     38943750.0     54216500.0     79165250.0     130134100.0000002     208687500.00000012     357440340.0     409722000.0
Client2     47369600.0     424581000     19100000     43526619.61704201     35084000.0     117554950.0000001     26797750.0     35084000.0     47058250.0     75546200.0     117554950.0000001     223619059.9999995     424581000.0
Client3     42699050.0     244891000     20486000     29588725.88302567     35036000.0     87820600.00000004     26568250.0     35036000.0     44501500.0     63233000.000000015     87820600.00000004     183068119.99999997     244891000.0
Client4     45913306.666666664     258676000     20515000     34577667.67736013     35665000.0     108383950.00000009     27971250.0     35665000.0     48410750.0     74740700.00000003     108383950.00000009     197840839.9999995     258676000.0
Client5     76902326.66666667     609834000     19863000     71893600.89572151     56080000.0     216608050.0     39550000.0     56080000.0     83283500.0     124981500.00000013     216608050.0     390996769.99999964     609834000.0
Client6     49523263.333333336     238929000     19146000     28995998.69902723     43005000.0     91869200.00000004     31873000.0     43005000.0     57216250.0     82097800.00000001     91869200.00000004     175335269.9999998     238929000.0
Client7     44591583.333333336     379859000     19133000     40881847.28315314     33321500.0     95061100.00000015     26778250.0     33321500.0     44789500.0     66256100.00000006     95061100.00000015     257252479.99999994     379859000.0
Client8     52707256.666666664     409979000     20776000     42152734.14585095     40963500.0     112602250.00000009     30828500.0     40963500.0     57808000.0     83498000.00000001     112602250.00000009     232059019.9999997     409979000.0
Client9     72236570.0     630381000     19469000     71615253.57914402     52680500.0     182117100.0000001     37447750.0     52680500.0     76199500.0     122839300.00000001     182117100.0000001     379005779.9999994     630381000.0
Client10     49164793.333333336     274582000     19099000     34061458.6068177     40459500.0     121658650.00000003     28779500.0     40459500.0     55947500.0     79676700.00000003     121658650.00000003     188972319.99999982     274582000.0
Client11     48496980.0     447364000     19921000     46042543.772033274     35715000.0     108682850.00000006     28369500.0     35715000.0     51023750.0     68589800.0     108682850.00000006     273324860.0     447364000.0
Client12     45012773.333333336     287651000     20412000     34334148.2080929     34747000.0     94519850.00000001     27716750.0     34747000.0     46310500.0     71498000.00000001     94519850.00000001     205114239.9999999     287651000.0
Client13     63041476.666666664     467994000     18724000     60199421.15953266     47477500.0     169187650.00000006     34578250.0     47477500.0     68756250.0     105349300.00000001     169187650.00000006     327202839.99999905     467994000.0
Client14     67124753.33333333     612287000     19984000     75824991.32954663     45491500.0     165582000.0000003     33990500.0     45491500.0     66362500.0     114123700.00000006     165582000.0000003     458577090.0     612287000.0
Client15     56998550.0     395056000     19368000     41283205.49352767     47546000.0     113043350.00000001     34060250.0     47546000.0     67177750.0     95165700.00000001     113043350.00000001     200659829.99999937     395056000.0
Client16     48629906.666666664     429429000     20543000     43118544.13688642     34153000.0     108365800.00000013     28262250.0     34153000.0     50778250.0     83744500.00000009     108365800.00000013     236422699.99999994     429429000.0
Client17     49449163.333333336     347331000     20271000     44144740.36209359     36504000.0     114792350.00000021     28994000.0     36504000.0     51014000.0     76978300.00000006     114792350.00000021     255313309.9999995     347331000.0
Client18     42841956.666666664     207990000     20564000     29445095.998283353     35215000.0     98691450.00000003     26624750.0     35215000.0     46263250.0     63267600.000000015     98691450.00000003     178771299.99999988     207990000.0
Client19     50830193.333333336     303146000     20295000     41922174.67446024     36814500.0     152148500.00000003     29120500.0     36814500.0     52069500.0     86256400.00000003     152148500.00000003     237640939.99999997     303146000.0
Client20     58696683.333333336     436408000     19607000     46297954.04770124     44995000.0     138177300.00000003     33918750.0     44995000.0     64580000.0     108152600.00000006     138177300.00000003     260129199.99999994     436408000.0
Client21     50995880.0     640227000     17826000     53802976.059126444     39891500.0     92808400.00000003     27004000.0     39891500.0     54861250.0     76898200.00000003     92808400.00000003     273332109.99999976     640227000.0
Client22     49970543.333333336     351099000     18996000     38110441.340593114     40537000.0     103895700.00000003     28690500.0     40537000.0     58706250.0     78734500.00000001     103895700.00000003     232217039.9999999     351099000.0
Client23     55475696.666666664     463422000     20131000     44003729.85264608     44972500.0     135842900.00000006     32622750.0     44972500.0     60815000.0     89761800.00000003     135842900.00000006     202191339.99999955     463422000.0
Client24     45614160.0     280309000     20000000     32504061.287697572     34992000.0     102759950.00000001     28299500.0     34992000.0     48314500.0     79981500.0     102759950.00000001     182289809.99999976     280309000.0
Client25     41816043.333333336     235049000     20542000     24785975.860584058     35705000.0     77655600.00000003     28556250.0     35705000.0     47482250.0     61226500.00000001     77655600.00000003     154366079.99999997     235049000.0
Client26     54295483.333333336     392073000     19121000     39804989.92676323     45564000.0     120476900.00000006     31932500.0     45564000.0     61201500.0     90828400.00000004     120476900.00000006     208896059.99999955     392073000.0
Client27     56259443.333333336     449319000     19947000     47001538.36354851     42835000.0     139344250.00000003     29490500.0     42835000.0     63716750.0     100756200.00000004     139344250.00000003     271966639.9999997     449319000.0
Client28     49209116.666666664     372702000     19846000     44601362.31966151     35663500.0     130826450.00000006     28973750.0     35663500.0     50827750.0     75567600.00000004     130826450.00000006     222901619.99999884     372702000.0
Client29     46306960.0     415524000     19730000     41477960.15329587     35225500.0     107490100.00000001     28279250.0     35225500.0     46047250.0     69618100.0     107490100.00000001     238632559.99999988     415524000.0
Client30     49534060.0     383840000     20036000     46131115.45869086     36162500.0     126409150.0000002     29126250.0     36162500.0     49235000.0     75764100.0     126409150.0000002     280849850.0     383840000.0
Client31     61947206.666666664     369842000     19938000     48879540.86122286     48416000.0     147665500.00000003     34420000.0     48416000.0     71149750.0     109591000.00000015     147665500.00000003     268628359.99999946     369842000.0
Client32     44390330.0     370997000     20465000     35097888.192612104     33141500.0     100301350.00000004     27552000.0     33141500.0     45784000.0     77004000.00000001     100301350.00000004     176895729.99999976     370997000.0
Client33     40417253.333333336     334099000     20162000     28821217.338779353     33346500.0     73157850.00000003     27163750.0     33346500.0     42911750.0     59463800.00000001     73157850.00000003     146300929.9999993     334099000.0
Client34     73070333.33333333     484522000     20414000     62745643.43449582     57338000.0     150092150.00000015     38931000.0     57338000.0     83588500.0     117719300.00000003     150092150.00000015     442392209.9999999     484522000.0
Client35     49061080.0     217231000     18934000     28721934.61567193     42452000.0     99035450.00000006     29442250.0     42452000.0     58747750.0     82830300.00000001     99035450.00000006     154856999.99999997     217231000.0
Client36     51183383.333333336     506318000     19159000     42801468.4518696     39577500.0     110807100.00000003     28873750.0     39577500.0     59720500.0     82236500.00000006     110807100.00000003     197173779.9999996     506318000.0
Client37     53599340.0     325084000     18878000     42231793.23705937     43935000.0     97482100.00000006     31796250.0     43935000.0     59611750.0     83699400.00000001     97482100.00000006     271403809.9999998     325084000.0
Client38     42563770.0     472503000     18837000     36063843.16038849     33470000.0     84554200.00000003     26848500.0     33470000.0     46719000.0     64364700.000000015     84554200.00000003     146817529.9999996     472503000.0
Client39     61829346.666666664     497242000     21030000     60735129.38396105     41728000.0     188613650.00000006     31893250.0     41728000.0     61026750.0     116459600.00000021     188613650.00000006     312227069.99999994     497242000.0
Client40     70727620.0     493518000     19183000     58478319.86593208     56739000.0     162445800.00000003     37819500.0     56739000.0     81991500.0     118822900.00000003     162445800.00000003     348267959.99999964     493518000.0
Client41     46249813.333333336     417708000     20441000     42811692.5385868     34591500.0     104527850.00000003     27991000.0     34591500.0     46267500.0     70045800.0000001     104527850.00000003     213642629.99999988     417708000.0
Client42     47490066.666666664     429423000     20527000     41378893.02291958     34168500.0     125255350.0     28657000.0     34168500.0     46558500.0     81633400.00000003     125255350.0     223231249.99999994     429423000.0
Client43     44677260.0     321055000     19163000     32688689.79181841     35277500.0     98200000.00000003     28047500.0     35277500.0     47587500.0     68359600.00000003     98200000.00000003     204671129.99999994     321055000.0
Client44     78565856.66666667     599688000     19482000     62273648.63923414     60274500.0     188007950.0     39693750.0     60274500.0     95229750.0     141805400.0     188007950.0     319625379.9999998     599688000.0
Client45     74302666.66666667     463279000     19269000     62612367.15071197     56869500.0     167089100.00000003     40456750.0     56869500.0     84605500.0     126020400.00000003     167089100.00000003     375022209.9999998     463279000.0
Client46     56875830.0     399597000     18781000     45233865.145498015     45048500.0     128024450.00000013     32444500.0     45048500.0     64185750.0     95293200.00000001     128024450.00000013     223866429.99999917     399597000.0
Client47     45808080.0     328739000     21445000     36407835.011715084     35681000.0     108106350.00000009     28567750.0     35681000.0     48494500.0     64833000.0     108106350.00000009     220028819.9999997     328739000.0
Client48     62937270.0     1068486000     18934000     74468765.5616127     47836000.0     126842000.00000006     32938250.0     47836000.0     69664000.0     103943700.00000006     126842000.00000006     317966659.9999996     1068486000.0
Client49     46818483.333333336     341718000     20470000     34812976.88185239     35665500.0     99192850.00000007     28669000.0     35665500.0     51279750.0     76053700.0     99192850.00000007     187606479.99999988     341718000.0
Client50     54144470.0     488854000     19339000     47235076.2727139     42445500.0     109012250.00000003     30125000.0     42445500.0     63009750.0     90053300.00000001     109012250.00000003     273606219.99999964     488854000.0
